GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated), 0-100kph Time(s),0-100mph Time(s),0-200kph Time(s),0-30mph Time(s),0-60mph Time(s),1/4 mile time(s),1/8 mile time(s),100-0kph Time(s),100-200kph Time(s),40-60mph Time(s),60-0mph Time(s),60-120mph Time(s),60-130mph Time(s),60-80mph Time(s),80-100mph Time(s),80-120kph Time(s),Absolute Throttle Position B(%),Acceleration Sensor(Total)(g),Acceleration Sensor(X axis)(g),Acceleration Sensor(Y axis)(g),Acceleration Sensor(Z axis)(g),Accelerator PedalPosition D(%),Accelerator PedalPosition E(%),Accelerator PedalPosition F(%),Actual engine % torque(%),Air Fuel Ratio(Commanded)(:1),Air Fuel Ratio(Measured)(:1),Alcohol Fuel Percentage(%),Ambient air temp(°F),Android device Battery Level(%),Average trip speed(whilst moving only)(mph),Average trip speed(whilst stopped or moving)(mph),Barometer (on Android device)(mb),Barometric pressure (from vehicle)(psi),Boost Pressure Commanded A(psi),Boost Pressure Commanded B(psi),Boost Pressure Sensor A(psi),Boost Pressure Sensor B(psi),Catalyst Temperature (Bank 1 Sensor 1)(°F),Catalyst Temperature (Bank 1 Sensor 2)(°F),Catalyst Temperature (Bank 2 Sensor 1)(°F),Catalyst Temperature (Bank 2 Sensor 2)(°F),Charge air cooler temperature (CACT)(°F),Commanded Equivalence Ratio(lambda),Cost per mile/km (Instant)($/m),Cost per mile/km (Trip)($/m),CO₂ in g/km (Average)(g/km),CO₂ in g/km (Instantaneous)(g/km),Distance to empty (Estimated)(miles),Distance travelled since codes cleared(miles),Distance travelled with MIL/CEL lit(miles),DPF Bank 1 Delta Pressure(psi),DPF Bank 1 Inlet Pressure(psi),DPF Bank 1 Inlet Temperature(°F),DPF Bank 1 Outlet Pressure(psi),DPF Bank 1 Outlet Temperature(°F),DPF Bank 2 Delta Pressure(psi),DPF Bank 2 Inlet Pressure(psi),DPF Bank 2 Inlet Temperature(°F),DPF Bank 2 Outlet Pressure(psi),DPF Bank 2 Outlet Temperature(°F),Drivers demand engine % torque(%),EGR Commanded(%),EGR Error(%),Engine Coolant Temperature(°F),Engine kW (At the wheels)(kW),Engine Load(%),Engine Load(Absolute)(%),Engine Oil Temperature(°F),Engine reference torque(Nm),Engine RPM(rpm),Ethanol Fuel %(%),Evap System Vapour Pressure(Pa),Exhaust gas temp Bank 1 Sensor 1(°F),Exhaust gas temp Bank 1 Sensor 2(°F),Exhaust gas temp Bank 1 Sensor 3(°F),Exhaust gas temp Bank 1 Sensor 4(°F),Exhaust gas temp Bank 2 Sensor 1(°F),Exhaust gas temp Bank 2 Sensor 2(°F),Exhaust gas temp Bank 2 Sensor 3(°F),Exhaust gas temp Bank 2 Sensor 4(°F),Exhaust Pressure Bank 1(psi),Exhaust Pressure Bank 2(psi),Fuel cost (trip)(cost),Fuel flow rate/hour(gal/hr),Fuel flow rate/minute(gal/min),Fuel Level (From Engine ECU)(%),Fuel pressure(psi),Fuel Rail Pressure(psi),Fuel Rail Pressure (relative to manifold vacuum)(psi),Fuel Rate (direct from ECU)(L/m),Fuel Remaining (Calculated from vehicle profile)(%),Fuel Trim Bank 1 Long Term(%),Fuel Trim Bank 1 Short Term(%),Fuel Trim Bank 2 Long Term(%),Fuel Trim Bank 2 Short Term(%),Fuel trim Sensor1(%),Fuel trim Sensor2(%),Fuel trim Sensor3(%),Fuel trim Sensor4(%),Fuel trim Sensor5(%),Fuel trim Sensor6(%),Fuel trim Sensor7(%),Fuel trim Sensor8(%),Fuel used (trip)(gal),GPS Accuracy(ft),GPS Altitude(ft),GPS Bearing(°),GPS Latitude(°),GPS Longitude(°),GPS Satellites,GPS vs OBD Speed difference(mph),Horsepower (At the wheels)(hp),Hybrid Battery Charge (%)(%),Hybrid/EV Battery Remaining Charge(%),Hybrid/EV Battery State of Health(%),Hybrid/EV System Battery Current(A),Hybrid/EV System Battery Power(W),Hybrid/EV System Battery Voltage(V),Intake Air Temperature(°F),Intake Manfold Abs Pressure A(psi),Intake Manfold Abs Pressure B(psi),Intake Manifold Pressure(psi),Kilometers Per Litre(Instant)(kpl),Kilometers Per Litre(Long Term Average)(kpl),Litres Per 100 Kilometer(Instant)(l/100km),Litres Per 100 Kilometer(Long Term Average)(l/100km),Mass Air Flow Rate(g/s),Mass air flow sensor A(g/s),Mass air flow sensor B(g/s),Miles Per Gallon(Instant)(mpg),Miles Per Gallon(Long Term Average)(mpg),NOx Post SCR(ppm),NOx Pre SCR(ppm),O2 Sensor1 Wide Range Current(mA),O2 Sensor1 Voltage(V),O2 Sensor1 Wide Range Equivalence Ratio(λ),O2 Sensor1 Wide Range Voltage(V),O2 Sensor2 Voltage(V),O2 Sensor2 Wide Range Current(mA),O2 Sensor2 Wide Range Equivalence Ratio(λ),O2 Sensor2 Wide Range Voltage(V),O2 Sensor3 Voltage(V),O2 Sensor3 Wide Range Current(mA),O2 Sensor3 Wide Range Equivalence Ratio(λ),O2 Sensor3 Wide Range Voltage(V),O2 Sensor4 Voltage(V),O2 Sensor4 Wide Range Current(mA),O2 Sensor4 Wide Range Equivalence Ratio(λ),O2 Sensor4 Wide Range Voltage(V),O2 Sensor5 Voltage(V),O2 Sensor5 Wide Range Current(mA),O2 Sensor5 Wide Range Equivalence Ratio(λ),O2 Sensor5 Wide Range Voltage(V),O2 Sensor6 Voltage(V),O2 Sensor6 Wide Range Current(mA),O2 Sensor6 Wide Range Equivalence Ratio(λ),O2 Sensor6 Wide Range Voltage(V),O2 Sensor7 Voltage(V),O2 Sensor7 Wide Range Current(mA),O2 Sensor7 Wide Range Equivalence Ratio(λ),O2 Sensor7 Wide Range Voltage(V),O2 Sensor8 Voltage(V),O2 Sensor8 Wide Range Current(mA),O2 Sensor8 Wide Range Equivalence Ratio(λ),O2 Sensor8 Wide Range Voltage(V),Odometer(from ECU)(miles),Percentage of City driving(%),Percentage of Highway driving(%),Percentage of Idle driving(%),Positive Kinetic Energy (PKE)(km/hr²),Relative Accelerator Pedal Position(%),Relative Throttle Position(%),Run time since engine start(s),Speed (GPS)(mph),Speed (OBD)(mph),Throttle Position(Manifold)(%),Timing Advance(°),Torque(Nm),Transmission Temperature(Method 2)(°F),Trip average KPL(kpl),Trip average Litres/100 KM(l/100km),Trip average MPG(mpg),Trip Distance(miles),Trip distance (stored in vehicle profile)(miles),Trip Time(Since journey start)(s),Trip time(whilst moving)(s),Trip time(whilst stationary)(s),Turbo Boost & Vacuum Gauge(psi),Voltage (Control Module)(V),Voltage (OBD Adapter)(V),Volumetric Efficiency (Calculated)(%)
Sun Jun 12 21:53:38 CDT 2022,12-Jun-2022 21:53:38.611,-96.6288384074479,33.02174725377292,0.0,6.309879302978516,151.93167820441016,0.0,1.9268204,9.04845905,2.79900432,0.01247169,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18.43137169,0,0.2,0.92000002,0.19,21.1764698,9.8039217,-,40,15.0481205,-,-,-,64,-,0,988.93310547,14.21369832,-,-,-,-,402.08001099,-,-,-,-,1.02368164,-,-,-,-,-,3470.97947851,0,-,-,-,-,-,-,-,-,-,-,-,0,0,134.6,-,0,36.47058868,-,162,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12.94117641,-,-,-,-,-,-5.46875,-,-,-,-,-,-,-,-,-,-,-,-,20.70170378,498.46348876,0,33.02174759,-96.62883759,22,0,-,35.68627548,35.68627548,-,-,-,0,-,-,-,-,0,28.55221176,-,3.50232506,-,10.40625,0,0,67.15955353,-,-,-,-,0.99555051,3.98220205,1.27499998,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.11361214,0,99.88639069,-,-,-,27,0,0,17.25490189,0,-,-,-,-,-,-,17.45584812,0,0,0,0,14.40999985,13.69999981,-
Sun Jun 12 21:54:08 CDT 2022,12-Jun-2022 21:54:08.491,-96.62885243000667,33.02173624155772,0.0,6.02975606918335,150.08024267775627,0.0,1.65762794,7.77966452,6.12801886,0.01694295,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18.43137169,-0.01,0.13,0.76999998,0.49000001,21.1764698,9.8039217,-,40,15.0481205,-,-,-,64,-,0,988.97589111,14.21369832,-,-,-,-,402.08001099,-,-,-,-,1.02368164,-,-,-,-,-,3470.97947851,0,-,-,-,-,-,-,-,-,-,-,-,0,0,136.4,-,61.96078491,36.47058868,-,162,1508,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12.94117641,-,-,-,-,-,-5.46875,-,-,-,-,-,-,-,-,-,-,-,-,19.7826643,492.38925919,0,33.02173615,-96.62885284,24,0,-,37.64706039,37.64706039,-,-,-,0,-,-,-,-,0,28.55221176,-,3.50232506,-,10.40625,0,0,67.15955353,-,-,-,-,0.99555051,3.98220205,1.27499998,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.11361214,0,99.88639069,-,-,-,57,0,0,18.03921509,0,-,-,-,-,-,-,17.45584812,0,0,0,0,14.39999962,13.69999981,-
Sun Jun 12 21:54:37 CDT 2022,12-Jun-2022 21:54:37.461,-96.62885999530921,33.02172658752668,0.0,6.768240451812744,149.94705517584927,0.0,0.68733829,9.10050297,3.67118812,0.02176589,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18.43137169,0,0.05,0.92000002,0.25999999,21.1764698,9.8039217,-,40,15.0481205,-,-,-,64,-,0,988.93225098,14.21369832,-,-,-,-,402.08001099,-,-,-,-,1.02368164,-,-,-,-,-,3470.97947851,0,-,-,-,-,-,-,-,-,-,-,-,0,0,152.6,-,58.03921509,36.47058868,-,162,1501,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12.94117641,-,-,-,-,-,-5.46875,-,-,-,-,-,-,-,-,-,-,-,-,22.20551333,491.9522711,0,33.0217247,-96.62886047,23,0,-,40.7843132,40.7843132,-,-,-,0,-,-,-,-,0,28.55221176,-,3.50232506,-,10.40625,0,0,67.15955353,-,-,-,-,0.99555051,3.98220205,1.27499998,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.11361214,0,99.88639069,-,-,-,86,0,0,17.64705849,0,-,-,-,-,-,-,17.45584812,0,0,0,0,14.39999962,13.69999981,-
Sun Jun 12 21:54:41 CDT 2022,12-Jun-2022 21:54:41.605,-96.62886108116336,33.02172677951111,0.0,6.961889266967773,149.716023407951,0.0,1.15453696,9.51984501,2.26959229,0.0000051,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18.43137169,0,0.05,0.94,0.19,21.1764698,9.8039217,-,40,15.0481205,-,-,-,64,-,0,988.95007324,14.21369832,-,-,-,-,402.08001099,-,-,-,-,1.02368164,-,-,-,-,-,3470.97947851,0,-,-,-,-,-,-,-,-,-,-,-,0,0,154.4,-,0,36.47058868,-,162,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12.94117641,-,-,-,-,-,-5.46875,-,-,-,-,-,-,-,-,-,-,-,-,22.84084409,491.19428774,0,33.02172852,-96.62886047,23,0,-,39.2156868,39.2156868,-,-,-,0,-,-,-,-,0,28.55221176,-,3.50232506,-,10.40625,0,0,67.15955353,-,-,-,-,0.99555051,3.98220205,1.27499998,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.11361214,0,99.88639069,-,-,-,100,0,0,17.25490189,0,-,-,-,-,-,-,17.45584812,0,0,0,0,14.39000034,13.60000038,-
Sun Jun 12 21:54:44 CDT 2022,12-Jun-2022 21:54:44.003,-96.62886107403952,33.02172565070415,0.0,7.091773986816406,149.65798030295946,0.0,0.93858469,8.17208767,3.85064983,-0.0359147,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18.43137169,-0.02,0.1,0.87,0.30000001,21.1764698,9.8039217,-,40,15.0481205,-,-,-,64,-,0,989.31622314,14.21369832,-,-,-,-,402.08001099,-,-,-,-,1.02368164,-,-,-,-,-,3470.97947851,0,-,-,-,-,-,-,-,-,-,-,-,0,0,154.4,-,0,36.47058868,-,162,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12.94117641,-,-,-,-,-,-5.46875,-,-,-,-,-,-,-,-,-,-,-,-,23.26697506,491.00385325,0,33.0217247,-96.62886047,23,0,-,38.82352829,38.82352829,-,-,-,0,-,-,-,-,0,28.55221176,-,3.50232506,-,10.40625,0,0,67.15955353,-,-,-,-,0.99555051,3.98220205,1.27499998,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.11361214,0,99.88639069,-,-,-,102,0,0,17.25490189,0,-,-,-,-,-,-,17.45584812,0,0,0,0,14.39999962,13.69999981,-
Sun Jun 12 21:54:46 CDT 2022,12-Jun-2022 21:54:46.232,-96.62885961610694,33.021724366459075,0.0,6.962174892425537,149.7163108984495,0.0,0.50249273,9.14476967,3.63409948,0.03016475,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18.43137169,0.01,0.05,0.93000001,0.28999999,21.1764698,9.8039217,-,40,15.0481205,-,-,-,64,-,0,988.965271,14.21369832,-,-,-,-,402.08001099,-,-,-,-,1.02368164,-,-,-,-,-,3470.97947851,0,-,-,-,-,-,-,-,-,-,-,-,0,0,154.4,-,0,36.47058868,-,162,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12.94117641,-,-,-,-,-,-5.46875,-,-,-,-,-,-,-,-,-,-,-,-,22.84178118,491.19523892,0,33.0217247,-96.62886047,22,0,-,38.4313736,38.4313736,-,-,-,0,-,-,-,-,0,28.55221176,-,3.50232506,-,10.40625,0,0,67.15955353,-,-,-,-,0.99555051,3.98220205,1.27499998,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.11361214,0,99.88639069,-,-,-,104,0,0,17.25490189,0,-,-,-,-,-,-,17.45584812,0,0,0,0,14.39000034,13.69999981,-
Sun Jun 12 21:54:49 CDT 2022,12-Jun-2022 21:54:49.259,-96.62885966040548,33.02172489489896,0.0,6.982163429260254,149.64228939677682,0.0,1.6073786,9.6436739,1.77367973,0.0391138,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18.43137169,0.02,0.15000001,0.98000002,0.13,21.1764698,9.8039217,-,40,15.0481205,-,-,-,64,-,0,988.96740723,14.21369832,-,-,-,-,402.08001099,-,-,-,-,1.02368164,-,-,-,-,-,3470.97947851,0,-,-,-,-,-,-,-,-,-,-,-,0,0,154.4,-,0,36.47058868,-,162,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12.94117641,-,-,-,-,-,-5.46875,-,-,-,-,-,-,-,-,-,-,-,-,22.90736037,490.95238988,0,33.0217247,-96.62886047,23,0,-,38.03921509,38.03921509,-,-,-,0,-,-,-,-,0,28.55221176,-,3.50232506,-,10.40625,0,0,67.15955353,-,-,-,-,0.99555051,3.98220205,1.27499998,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.11361214,0,99.88639069,-,-,-,107,0,0,17.25490189,0,-,-,-,-,-,-,17.45584812,0,0,0,0,14.39000034,13.69999981,-
Sun Jun 12 21:54:51 CDT 2022,12-Jun-2022 21:54:51.010,-96.62885960667631,33.02172509419681,0.0,6.77832555770874,149.60609943418027,0.0,1.15992081,8.71765137,4.10428905,0.01099931,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18.43137169,-0.01,0.09,0.88,0.31999999,21.1764698,9.8039217,-,40,15.0481205,-,-,-,64,-,0,988.97906494,14.21369832,-,-,-,-,402.08001099,-,-,-,-,1.02368164,-,-,-,-,-,3470.97947851,0,-,-,-,-,-,-,-,-,-,-,-,0,0,154.4,-,0,36.47058868,-,162,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12.94117641,-,-,-,-,-,-5.46875,-,-,-,-,-,-,-,-,-,-,-,-,22.23860094,490.83364366,0,33.0217247,-96.62886047,22,0,-,38.03921509,38.03921509,-,-,-,0,-,-,-,-,0,28.55221176,-,3.50232506,-,10.40625,0,0,67.15955353,-,-,-,-,0.99555051,3.98220205,1.27499998,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.11361214,0,99.88639069,-,-,-,109,0,0,17.25490189,0,-,-,-,-,-,-,17.45584812,0,0,0,0,14.39999962,13.69999981,-
Sun Jun 12 21:54:54 CDT 2022,12-Jun-2022 21:54:54.122,-96.62885865310999,33.021726669534296,0.0,6.894101142883301,149.62314094922894,0.0,1.29810631,8.10149956,7.0498538,0.12896138,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18.43137169,0.11,0.13,0.83999997,0.61000001,21.1764698,9.8039217,-,40,15.0481205,-,-,-,64,-,0,988.98876953,14.21369832,-,-,-,-,402.08001099,-,-,-,-,1.02368164,-,-,-,-,-,3470.97947851,0,-,-,-,-,-,-,-,-,-,-,-,0,0,154.4,-,0,36.47058868,-,162,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12.94117641,-,-,-,-,-,-5.46875,-,-,-,-,-,-,-,-,-,-,-,-,22.6184421,490.88956252,0,33.02172852,-96.62886047,23,0,-,37.64706039,37.64706039,-,-,-,0,-,-,-,-,0,28.55221176,-,3.50232506,-,10.40625,0,0,67.15955353,-,-,-,-,0.99555051,3.98220205,1.27499998,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.11361214,0,99.88639069,-,-,-,112,0,0,17.25490189,0,-,-,-,-,-,-,17.45584812,0,0,0,0,14.39000034,13.69999981,-
Sun Jun 12 21:54:56 CDT 2022,12-Jun-2022 21:54:56.620,-96.62885511047921,33.02172745081293,0.0,7.121821403503418,149.6812323594391,0.0,-1.77966189,7.28793955,5.33180714,-0.04279697,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18.43137169,-0.12,-0.14,0.70999998,0.38,21.1764698,9.8039217,-,40,15.0481205,-,-,-,64,-,0,988.65490723,14.21369832,-,-,-,-,402.08001099,-,-,-,-,1.02368164,-,-,-,-,-,3470.97947851,0,-,-,-,-,-,-,-,-,-,-,-,0,0,154.4,-,0,36.47058868,-,162,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12.94117641,-,-,-,-,-,-5.46875,-,-,-,-,-,-,-,-,-,-,-,-,23.36555582,491.0801472,0,33.02172852,-96.62885284,22,0,-,37.25490189,37.25490189,-,-,-,0,-,-,-,-,0,28.55221176,-,3.50232506,-,10.40625,0,0,67.15955353,-,-,-,-,0.99555051,3.98220205,1.27499998,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.11361214,0,99.88639069,-,-,-,114,0,0,17.25490189,0,-,-,-,-,-,-,17.45584812,0,0,0,0,14.39000034,13.69999981,-
Sun Jun 12 21:54:58 CDT 2022,12-Jun-2022 21:54:58.646,-96.62885470649098,33.02172834620946,0.0,7.208956718444824,149.66738239674874,0.0,-2.10089827,6.90748072,6.60478878,0.02648419,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18.43137169,0,-0.22,0.70999998,0.56,21.1764698,9.8039217,-,40,15.0481205,-,-,-,64,-,0,989.48278809,14.21369832,-,-,-,-,402.08001099,-,-,-,-,1.02368164,-,-,-,-,-,3470.97947851,0,-,-,-,-,-,-,-,-,-,-,-,0,0,154.4,-,0,36.47058868,-,162,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12.94117641,-,-,-,-,-,-5.46875,-,-,-,-,-,-,-,-,-,-,-,-,23.65143284,491.03474128,0,33.02172852,-96.62885284,21,0,-,36.86274338,36.86274338,-,-,-,0,-,-,-,-,0,28.55221176,-,3.50232506,-,10.40625,0,0,67.15955353,-,-,-,-,0.99555051,3.98220205,1.27499998,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.11361214,0,99.88639069,-,-,-,117,0,0,17.25490189,0,-,-,-,-,-,-,17.45584812,0,0,0,0,14.39999962,13.69999981,-
